symbol,DiseaseSpecific_ClinicLabel,drug_information,globalScore,maxClinicalTrialPhase,isInMembrane,isSecreted,hasLigand,hasSmallMoleculeBinder,hasPocket,mouseOrthologMaxIdentityPercentage,hasHighQualityChemicalProbes,geneticConstraint,mouseKoScore,geneEssentiality,hasSafetyEvent,isCancerDriverGene,paralogMaxIdentityPercentage,tissueSpecificity,tissueDistribution,GeneFamily,score,GeneCard_Score
DAP,0,Soft negative,0.3074283410985927,No data,0,0,0,0,0,0.8039200000000001,No data,0.7076474265471973,-0.4547912827212672,0,No data,No data,0,-1,-1,DAP,0.3157513310210146,0.008322989922421939
CYBA,0,Soft negative,0.0319307978355174,No data,1,0,0,0,0,0.20512999999999976,No data,0.7012919358199625,-0.31336238680080286,0,-1,No data,No data,0.5,-1,CYBA,0.05697679295988231,0.025045995124364905
GSDMB,0,Soft negative,0.1475143256749458,No data,0,0,0,0,0,No data,No data,0.1755574077932902,No data,0,No data,No data,0,0.5,0,GSDMB,0.1850647796755906,0.037550454000644815
LCE3C,0,Soft negative,0.0355837240666247,No data,No data,No data,0,0,0,No data,No data,0.5889768701812879,No data,0,No data,No data,-0.6010649999999998,1,0.5,LCE,0.08389445135597207,0.04831072728934736
GPR31,0,Soft negative,0.0245118663577713,No data,1,0,0,0,0,0,No data,0.9305063554907271,0,0,No data,No data,0,0.5,1,GPR,0.045913186337878845,0.02140131998010755
LINC00304,0,Soft negative,0.0044349582562164,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,LINC,0.018076594244972592,0.013641635988756192
MLKL,0,Soft negative,0.0085721994072701,No data,1,0,1,1,0,0,1,0.38903938320483444,No data,0,No data,No data,0,-1,0,MLKL,0.03623397195872825,0.02766177255145815
RNASE7,0,Soft negative,0.0066524373843246,No data,0,1,0,0,0,No data,No data,0.8563242342154616,No data,0,No data,No data,-0.4230775000000001,0.75,0.5,RNASE,0.016472670499518803,0.009820233115194203
YPEL5,0,Soft negative,0.0645978468982078,No data,0,0,0,0,0,1,No data,-0.09877057720358406,No data,0,No data,No data,0,1,-1,YPEL,0.09596570202600277,0.031367855127794976
VCAM1,0,Soft negative,0.0194884464721346,No data,0,0,0,1,0,0,No data,-0.6434673890393832,-0.9119953041623549,0,-1,No data,0,1,-1,VCAM,0.2419898710777377,0.2225014246056031
SWAP70,0,Soft negative,0.3923692634083896,No data,1,0,0,0,0,0.7521349999999998,No data,-0.5341737862054594,0,0,No data,No data,0,-1,-1,SWAP,0.4024227406251995,0.01005347721680987
SOCS1,0,Soft negative,0.1498302542080635,No data,0,0,0,0,0,0.78673,No data,0.1942071264846843,-0.9551860341738319,0,No data,-1,0,-1,0,SOCS,0.3265882262884822,0.1767579720804187
P4HA2,0,Soft negative,0.0587157821873012,No data,0,0,0,0,0,0.54972,No data,-0.30954365492811,No data,0,No data,No data,0,-1,-1,P,0.131536543290111,0.0728207611028098
PADI4,0,Hard negative,0.6282350440400994,No data,0,0,1,1,1,0,1,0.2766201291935819,-0.9012401148756077,0,No data,No data,0,0.75,0.5,PADI,1.3379292075953817,0.7096941635552824
GIN1,0,Soft negative,0.052897511315022,No data,0,0,0,0,0,0.27203000000000016,No data,-0.08637216086684729,-0.6137027682015569,0,No data,No data,No data,-1,0,GIN,0.08195933881232959,0.02906182749730759
OLIG3,0,Soft negative,0.3662659414669221,No data,0,0,0,0,0,0.9264699999999998,No data,-0.4905188580954365,-0.6521302456344108,0,No data,No data,0,No data,No data,OLIG,0.4478456115718315,0.08157967010490942
IL7,0,Soft negative,0.0182895072794721,No data,0,1,0,0,0,0,No data,-0.6789956240883517,0,0,No data,No data,No data,-1,0,IL,0.21540998595013494,0.19712047867066285
HK2,0,Soft negative,0.0056874233193145,No data,0,0,1,1,1,0.7110149999999997,No data,-0.5167743279849969,No data,0,No data,No data,-0.33478749999999985,0.5,-1,HK,0.022733480108863804,0.017046056789549305
TRAF4,0,Soft negative,0.007391597093694,No data,0,0,0,0,0,0.8404249999999998,No data,-0.6868097520316733,-0.7078838540540533,0,No data,No data,0,-1,0,TRAF,0.015440720927450857,0.008049123833756857
PTPN22,0,Hard negative,0.498107921240046,No data,1,0,1,1,0,0,No data,0.2202542196290893,-0.7777096794822363,0,No data,No data,0,0.5,0,PTPN,1.438004184200835,0.9398962629607891
TNXB,0,Soft negative,0.1158569839780444,No data,0,1,0,0,0,0,No data,-0.372681808710148,-0.6940545315841729,0,No data,No data,0,0.5,0,TNXB,0.19476016141371003,0.07890317743566562
MACIR,0,Hard negative,0.3441841771581188,No data,0,0,0,0,0,0.7330100000000002,No data,-0.02635965826213793,-0.17077894484562928,0,No data,No data,No data,0.5,-1,MACIR,0.5819481859906017,0.2377640088324829
RASGRP1,0,Hard negative,0.5124728424616252,No data,1,0,1,1,0,0.5169400000000003,No data,-0.7300479266513857,-0.6663769787781831,0,No data,No data,0,0.5,0,RASGRP,0.5950830565732594,0.08261021411163431
IL23R,0,Hard negative,0.3505972970158764,No data,1,0,0,1,0,0,No data,-0.3694519691602417,-0.25968950302935195,0,-1,No data,0,0.5,0.5,IL,0.6006155536551692,0.2500182566392928
FCGR2A,0,Hard negative,0.3753248527205695,No data,1,0,0,0,0,0,No data,0.49468639299854145,-0.9111105592264029,0,No data,No data,-0.6372250000000002,0.5,-1,FCGR,0.6157814762195619,0.2404566234989925
MICA,0,Hard negative,0.4393191543880503,No data,1,0,No data,No data,No data,0,No data,-0.0723067305688685,No data,0,No data,No data,-0.5256025000000001,-1,0,MICA,0.6244319628439076,0.1851128084558573
LACC1,0,Hard negative,0.2932986692120374,No data,0,0,0,0,0,0,No data,0.20295894978120432,-0.25007499251733567,0,No data,No data,No data,-1,0,LACC,0.6325703647307961,0.3392716955187587
REL,0,Hard negative,0.4757377511532754,No data,0,0,0,0,0,0,No data,-0.8512190039591582,-0.79601482936065,0,No data,No data,0,0.5,-1,REL,0.6647853246930941,0.1890475735398188
CD244,0,Hard negative,0.1913745130632598,No data,0,0,0,0,0,0,No data,-0.4036257553657012,0,0,No data,No data,0,0.5,0,CD,0.6704528430284467,0.4790783299651868
TNFAIP3,0,Hard negative,0.4689297046960922,No data,0,0,0,0,0,0.39873499999999995,No data,-0.8903938320483434,-0.8825640198650078,0,No data,-1,0,0.5,-1,TNFAIP,0.7097324979909273,0.24080279329483512
TRAF1,0,Hard negative,0.4166216119328674,No data,0,0,0,0,0,0.14663499999999985,No data,-0.18733069389456136,0,0,No data,No data,0,0.5,-1,TRAF,0.713820166041853,0.2971985541089857
PADI2,0,Hard negative,0.5631344799556416,No data,0,0,1,1,0,0.6616549999999997,0,-0.024484267555740735,0,0,No data,No data,0,0.5,0,PADI,0.7215042623589764,0.1583697824033348
CCR6,0,Hard negative,0.4862500465417676,No data,1,0,0,1,0,0,No data,0.16586788914357165,-0.7757178745105248,0,No data,No data,0,1,0.5,CCR,0.7294739663882566,0.2432239198464889
FCRL3,0,Hard negative,0.4823994729528498,No data,1,0,0,0,0,No data,No data,0.42967284851010623,No data,0,No data,No data,0,1,0.5,FCRL,0.7715748099431916,0.2891753369903418
TLR1,0,Hard negative,0.4165164962296588,No data,1,0,1,1,0,0,No data,0.870493852886018,0,0,No data,No data,-0.22391749999999994,0.5,0,TLR,0.805899283736945,0.38938278750728617
HLA-B,0,Hard negative,0.3684247027429804,No data,1,0,0,0,0,No data,No data,0.0008335069806209017,-0.6726708956888355,0,-1,No data,-0.6616025000000001,0.5,0,HLA,0.8476512652853939,0.4792265625424135
ANKRD55,0,Hard negative,0.5381329694635385,No data,0,0,0,0,0,0.28339,No data,-0.05313607001458642,No data,0,No data,No data,0,0.5,0.5,ANKRD,0.8556282783554591,0.31749530889192057
PTPN2,0,Hard negative,0.5214793458983272,No data,0,0,1,1,0,0.4337350000000001,0,-0.9112315065638674,-0.7767185402855089,0,-1,No data,0,0.5,-1,PTPN,0.8668534876062658,0.34537414170793856
NFKBIL1,0,Hard negative,0.4180153478625468,No data,0,0,0,0,0,0.5931750000000001,No data,-0.40018753907063975,0,0,No data,No data,No data,-1,0,NFKBIL,0.8980990785029831,0.4800837306404363
CIITA,0,Hard negative,0.3420840976664667,No data,0,0,0,0,0,0,No data,-0.397374453011044,-0.2166943785637357,0,No data,-1,0,0.5,-1,CIITA,1.0052754701085076,0.663191372442041
SLC22A4,0,Hard negative,0.4306957628879746,No data,0,0,0,0,0,0.25589999999999974,No data,0.08491352365076055,-0.5489623301856178,0,No data,No data,-0.4192374999999998,0.5,0,SLC,1.012005548295467,0.5813097854074925
IRF5,0,Hard negative,0.5062175923339862,No data,0,0,0,0,0,0.26069999999999993,No data,-0.3823713273598667,-0.632939079468739,0,No data,No data,0,-1,0,IRF,1.0939277524536115,0.5877101601196253
STAT4,0,Hard negative,0.593898467926672,No data,0,0,0,1,0,0.7393050000000002,No data,-0.6938945613669514,-0.6979722743392575,0,No data,No data,0,0.5,-1,STAT,1.2141341214624428,0.6202356535357708
TAGAP,0,Hard negative,0.4171074940442426,No data,0,0,0,0,0,0,No data,-0.5972077516149198,-0.21576803032356207,0,No data,No data,0,0.5,0,TAGAP,0.5871995232884168,0.17009202924417421
AFF3,0,Hard negative,0.4781971384451334,No data,0,0,0,0,0,0.4086449999999999,No data,-0.8623671598249636,-0.6906573043417799,0,No data,No data,0,-1,0,AFF,0.564273324216382,0.08607618577124862
INAVA,0,Soft negative,0.3775778672227537,No data,0,0,0,0,0,0.3771650000000001,No data,-0.2185872056678475,-0.031038826058105984,0,No data,No data,0,0.5,0,INAVA,0.3887841192102372,0.011206251987483502
MIR146A,0,Hard negative,0.040295291556273,No data,No data,No data,No data,No data,No data,No data,No data,No data,-0.8030381114142356,No data,No data,No data,No data,No data,No data,MIR,0.5586255547579139,0.5183302632016409
VNN2,0,Soft negative,0.0064706820487343,No data,1,0,0,0,0,No data,No data,0.6603459053969576,No data,0,No data,No data,-0.048077499999999954,0.5,0,VNN,0.01967557113607337,0.01320488908733907
KIR2DS5,0,Soft negative,0.0162077192050561,No data,No data,No data,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,KIR,0.018265262603261313,0.0020575433982052134
SLC22A5,0,Soft negative,0.0772972678469009,No data,0,0,0,0,0,0.2728900000000003,No data,0.5057303604917691,-0.8895926126118949,0,-1,No data,-0.39856499999999995,0.5,0,SLC,0.17212974352322047,0.09483247567631958
